#Genus	Species	Strain	NCBI accession	From	To	BGC type	On contig edge	Most similar known cluster	Similarity in %	MIBiG BGC-ID	Results URL	Download URL
Brevibacterium	Unclassified	HMSC063G07	NZ_KV802350.1	54579	131665	furan - lassopeptide - t1nrps hybrid	False	coelibactin	36	BGC0000324	https://antismash-db.secondarymetabolites.org/go/NZ_KV802350.1/54579-131665	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001810665.1/NZ_KV802350/1/54579/131665
Ralstonia	solanacearum	RSCM	NZ_CDRX01000001.1	1268106	1312091	arylpolyene - furan hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CDRX01000001.1/1268106-1312091	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001373295.1/NZ_CDRX01000001/1/1268106/1312091
Ralstonia	solanacearum	FJAT-91	NZ_CP016612.1	621596	642463	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP016612.1/621596-642463	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002155245.1/NZ_CP016612/1/621596/642463
Ralstonia	solanacearum	RSCM	NZ_CP016914.1	794828	815695	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP016914.1/794828-815695	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002220465.1/NZ_CP016914/1/794828/815695
Lactococcus	piscium	CMTALT02	NZ_JXJW01000011.1	20294	41065	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JXJW01000011.1/20294-41065	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002441695.1/NZ_JXJW01000011/1/20294/41065
Streptococcus	equinus	B315	NZ_KE384124.1	420155	441064	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KE384124.1/420155-441064	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000424045.1/NZ_KE384124/1/420155/441064
Herbaspirillum	seropedicae	SmR1	NC_014323.1	3398526	3419393	furan	False	polyhydroxyalkanoate	75	BGC0000866	https://antismash-db.secondarymetabolites.org/go/NC_014323.1/3398526-3419393	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000143225.1/NC_014323/1/3398526/3419393
Streptomyces	ambofaciens	ATCC 23877	NZ_CP012382.1	4172600	4193614	furan	False	methylenomycin A	9	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CP012382.1/4172600-4193614	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001267885.1/NZ_CP012382/1/4172600/4193614
Rothia	dentocariosa	ATCC 17931	NC_014643.1	883519	926450	furan - t1pks hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_014643.1/883519-926450	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000164695.2/NC_014643/1/883519/926450
Streptomyces	pseudovenezuelae	DSM 40212	NZ_KQ948154.1	327770	348781	furan	False	BD-12	14	BGC0001379	https://antismash-db.secondarymetabolites.org/go/NZ_KQ948154.1/327770-348781	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001513955.1/NZ_KQ948154/1/327770/348781
Lactococcus	piscium	MKFS47	NZ_LN774769.1	1286736	1307657	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LN774769.1/1286736-1307657	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000981525.1/NZ_LN774769/1/1286736/1307657
Brevibacterium	Unclassified	HMSC07C04	NZ_KV823287.1	0	12951	furan	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KV823287.1/0-12951	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001815905.1/NZ_KV823287/1/0/12951
Ralstonia	solanacearum	RSCM	NZ_CP022702.1	2928879	2949746	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP022702.1/2928879-2949746	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003595325.1/NZ_CP022702/1/2928879/2949746
Streptomyces	mirabilis	OV308	NZ_FONR01000015.1	0	12475	furan	True	colabomycin E	15	BGC0000213	https://antismash-db.secondarymetabolites.org/go/NZ_FONR01000015.1/0-12475	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900112965.1/NZ_FONR01000015/1/0/12475
Ralstonia	solanacearum	RSCM	NZ_CP049787.1	3157008	3177875	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP049787.1/3157008-3177875	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_011290405.1/NZ_CP049787/1/3157008/3177875
Vibrio	cholerae	RC385	NZ_GG774556.1	347891	368893	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_GG774556.1/347891-368893	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000152445.1/NZ_GG774556/1/347891/368893
Vibrio	cholerae	N2807	NZ_VSHU01000029.1	45516	66518	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VSHU01000029.1/45516-66518	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008083755.1/NZ_VSHU01000029/1/45516/66518
Vibrio	cholerae	N2807	NZ_VSFO01000014.1	94305	115307	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VSFO01000014.1/94305-115307	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008084835.1/NZ_VSFO01000014/1/94305/115307
Ralstonia	solanacearum	RSCM	NZ_CP014702.1	2686342	2707212	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP014702.1/2686342-2707212	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001586135.1/NZ_CP014702/1/2686342/2707212
Nocardiopsis	Unclassified	FR6	NZ_VWVW01000029.1	0	16097	furan	True	Sch-47554 / Sch-47555	3	BGC0000268	https://antismash-db.secondarymetabolites.org/go/NZ_VWVW01000029.1/0-16097	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009830935.1/NZ_VWVW01000029/1/0/16097
Vibrio	cholerae	N2807	NZ_WYCR01000030.1	69066	90068	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_WYCR01000030.1/69066-90068	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013111295.1/NZ_WYCR01000030/1/69066/90068
Streptococcus	equi	MGCS10565; ATCC BAA1716	NC_011134.1	1958450	1979377	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_011134.1/1958450-1979377	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000020765.1/NC_011134/1/1958450/1979377
Streptomyces	olivochromogenes	DSM 40451	NZ_KQ948463.1	297652	309820	furan	True	colabomycin E	15	BGC0000213	https://antismash-db.secondarymetabolites.org/go/NZ_KQ948463.1/297652-309820	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001514115.1/NZ_KQ948463/1/297652/309820
Streptomyces	antibioticus	DSM 40234	NZ_KQ948422.1	1043313	1087969	furan - t1pks hybrid	False	rustmicin	10	BGC0000065	https://antismash-db.secondarymetabolites.org/go/NZ_KQ948422.1/1043313-1087969	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001514065.1/NZ_KQ948422/1/1043313/1087969
Bacillus	thuringiensis	AFS056597	NZ_SMDG01000023.1	21091	67766	furan - other hybrid	False	bacilysin	100	BGC0001184	https://antismash-db.secondarymetabolites.org/go/NZ_SMDG01000023.1/21091-67766	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004343085.1/NZ_SMDG01000023/1/21091/67766
Vibrio	cholerae	N2807	NZ_LBFV01000023.1	68089	89091	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LBFV01000023.1/68089-89091	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001402365.1/NZ_LBFV01000023/1/68089/89091
Vibrio	hyugaensis	100512A	NZ_CP025795.1	181249	202239	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP025795.1/181249-202239	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002906655.1/NZ_CP025795/1/181249/202239
Ralstonia	pseudosolanacearum	RS 476	NZ_CP021762.1	615464	636323	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP021762.1/615464-636323	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003595305.1/NZ_CP021762/1/615464/636323
Streptomyces	kanamyceticus	ATCC 12853	NZ_CP023699.1	2602019	2625105	butyrolactone - furan hybrid	False	methylenomycin A	28	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CP023699.1/2602019-2625105	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008704495.1/NZ_CP023699/1/2602019/2625105
Cryobacterium	Unclassified	N21	NZ_PJJQ01000026.1	15466	48570	furan - lap - thiopeptide hybrid	False	kocurin	33	BGC0001640	https://antismash-db.secondarymetabolites.org/go/NZ_PJJQ01000026.1/15466-48570	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002929575.1/NZ_PJJQ01000026/1/15466/48570
Streptomyces	calvus	CECT 3271	NZ_JACJIE010000005.1	335529	356540	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_JACJIE010000005.1/335529-356540	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_014138735.1/NZ_JACJIE010000005/1/335529/356540
Vibrio	cholerae	N2807	NZ_CP026532.1	999765	1020767	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP026532.1/999765-1020767	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004117115.1/NZ_CP026532/1/999765/1020767
Bacillus	cereus	FORC087	NZ_NVCG01000036.1	2170	18818	furan	True	methylenomycin A	14	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_NVCG01000036.1/2170-18818	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002568265.1/NZ_NVCG01000036/1/2170/18818
Streptomyces	Unclassified	Amel2xC10	NZ_FWZW01000011.1	86440	109698	butyrolactone - furan hybrid	False	methylenomycin A	14	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_FWZW01000011.1/86440-109698	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900177255.1/NZ_FWZW01000011/1/86440/109698
Streptomyces	indicus	CGMCC 4.5727	NZ_FNFF01000019.1	98753	126164	butyrolactone - furan hybrid	True	methylenomycin A	14	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_FNFF01000019.1/98753-126164	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900100315.1/NZ_FNFF01000019/1/98753/126164
Vibrio	mimicus	07-2442	NZ_VSHS01000015.1	114736	135738	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VSHS01000015.1/114736-135738	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008083745.1/NZ_VSHS01000015/1/114736/135738
Ralstonia	solanacearum	RSCM	NZ_CP023016.1	2707863	2728733	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP023016.1/2707863-2728733	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003515385.1/NZ_CP023016/1/2707863/2728733
Ralstonia	pseudosolanacearum	RS 476	NZ_CP021764.1	615529	636388	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP021764.1/615529-636388	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003612975.1/NZ_CP021764/1/615529/636388
Streptococcus	salivarius	None	NZ_KQ971248.1	0	8497	furan	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KQ971248.1/0-8497	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001546835.1/NZ_KQ971248/1/0/8497
Ralstonia	solanacearum	RSCM	NZ_CDQJ01000001.1	1888751	1909618	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CDQJ01000001.1/1888751-1909618	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001373335.1/NZ_CDQJ01000001/1/1888751/1909618
Streptococcus	mitis	OD_317805_11	NZ_NCVK01000010.1	42425	63235	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_NCVK01000010.1/42425-63235	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002096845.1/NZ_NCVK01000010/1/42425/63235
Paenarthrobacter	nitroguajacolicus	xwA3	NZ_QJRB01000042.1	73760	94771	furan	False	methylenomycin A	9	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_QJRB01000042.1/73760-94771	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013393275.1/NZ_QJRB01000042/1/73760/94771
Vibrio	mimicus	07-2442	NZ_VSHT01000028.1	76491	97493	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VSHT01000028.1/76491-97493	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008083775.1/NZ_VSHT01000028/1/76491/97493
Streptomyces	hundungensis	BH38	NZ_CP032698.1	5250244	5275990	butyrolactone - furan hybrid	False	neocarzinostatin	4	BGC0000112	https://antismash-db.secondarymetabolites.org/go/NZ_CP032698.1/5250244-5275990	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003627815.1/NZ_CP032698/1/5250244/5275990
Streptomyces	antibioticus	DSM 40234	NZ_CP050692.1	4452479	4476161	butyrolactone - furan hybrid	False	methylenomycin A	14	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CP050692.1/4452479-4476161	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_012044595.1/NZ_CP050692/1/4452479/4476161
Brevibacterium	aurantiacum	SMQ-1417	NZ_CP025330.1	3170921	3203258	furan - lanthipeptide hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP025330.1/3170921-3203258	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003999295.1/NZ_CP025330/1/3170921/3203258
Leuconostoc	inhae	C120c	NZ_FBTC01000025.1	65770	86709	furan	False	methylenomycin A	9	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_FBTC01000025.1/65770-86709	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900009505.1/NZ_FBTC01000025/1/65770/86709
Leuconostoc	inhae	C120c	NZ_FBTB01000023.1	65747	86686	furan	False	methylenomycin A	9	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_FBTB01000023.1/65747-86686	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900016165.1/NZ_FBTB01000023/1/65747/86686
Sphingobacterium	Unclassified	1.3611	NZ_SRZY01000011.1	674825	690636	furan	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SRZY01000011.1/674825-690636	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_006476045.1/NZ_SRZY01000011/1/674825/690636
Ralstonia	solanacearum	PSI07	NC_014310.1	1863322	1884192	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_014310.1/1863322-1884192	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000283475.1/NC_014310/1/1863322/1884192
Bacillus	thuringiensis	AFS056597	NZ_NVMD01000049.1	5022	21621	furan	True	methylenomycin A	14	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_NVMD01000049.1/5022-21621	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002552395.1/NZ_NVMD01000049/1/5022/21621
Serratia	fonticola	CPSE11	NZ_CP050171.1	4216495	4237488	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP050171.1/4216495-4237488	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_011691375.1/NZ_CP050171/1/4216495/4237488
Streptomyces	Unclassified	CNS335	NZ_KB897654.1	8550	48948	furan - other hybrid	True	methylenomycin A	9	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_KB897654.1/8550-48948	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000377125.1/NZ_KB897654/1/8550/48948
Streptomyces	Unclassified	BK340	NZ_VISR01000020.1	153789	174836	furan	False	cyphomycin	2	BGC0001877	https://antismash-db.secondarymetabolites.org/go/NZ_VISR01000020.1/153789-174836	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_007827595.1/NZ_VISR01000020/1/153789/174836
Actinokineospora	mzabensis	CECT 8578	NZ_QHCP01000008.1	250643	293073	furan - t1pks hybrid	True	funisamine	30	BGC0001944	https://antismash-db.secondarymetabolites.org/go/NZ_QHCP01000008.1/250643-293073	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003182415.1/NZ_QHCP01000008/1/250643/293073
Streptomyces	griseorubiginosus	BTU6	NZ_KQ948736.1	906603	951418	furan - t1pks hybrid	False	methylenomycin A	19	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_KQ948736.1/906603-951418	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001514195.1/NZ_KQ948736/1/906603/951418
Ralstonia	solanacearum	RSCM	NZ_CDRJ01000001.1	1569415	1590282	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CDRJ01000001.1/1569415-1590282	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001373255.1/NZ_CDRJ01000001/1/1569415/1590282
Kitasatospora	Unclassified	MMS16-BH015	NZ_CP025394.1	4882466	4903501	furan	False	prejadomycin / rabelomycin / gaudimycin C / gaudimycin D / UWM6 / gaudimycin A	6	BGC0000262	https://antismash-db.secondarymetabolites.org/go/NZ_CP025394.1/4882466-4903501	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002943525.1/NZ_CP025394/1/4882466/4903501
Acinetobacter	pittii	WCHAP100010	NZ_CP014477.1	1163443	1233800	furan - hserlactone - t1nrps hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP014477.1/1163443-1233800	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001577285.1/NZ_CP014477/1/1163443/1233800
Vibrio	mimicus	07-2442	NZ_VSIF01000006.1	67655	88657	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VSIF01000006.1/67655-88657	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008083535.1/NZ_VSIF01000006/1/67655/88657
Actinomyces	oris	R21091	NZ_MSKU01000009.1	25350	46346	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_MSKU01000009.1/25350-46346	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001937535.1/NZ_MSKU01000009/1/25350/46346
Streptomyces	griseorubiginosus	BTU6	NZ_CP032427.1	2219207	2261787	furan - t1pks hybrid	False	methylenomycin A	19	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CP032427.1/2219207-2261787	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003595235.1/NZ_CP032427/1/2219207/2261787
Streptomyces	viridosporus	ATCC 39115	NZ_JH993790.1	5968130	6016575	furan - nrps-like - t1pks hybrid	False	chlorothricin / deschlorothricin	13	BGC0000036	https://antismash-db.secondarymetabolites.org/go/NZ_JH993790.1/5968130-6016575	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000316095.1/NZ_JH993790/1/5968130/6016575
Lactococcus	lactis	S0	NZ_CP024954.1	1163211	1239663	furan - t1nrps - transat-pks hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP024954.1/1163211-1239663	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002804185.1/NZ_CP024954/1/1163211/1239663
Streptomyces	jietaisiensis	CGMCC 4.1859	NZ_FNAX01000018.1	137933	159043	furan	False	asukamycin	24	BGC0000187	https://antismash-db.secondarymetabolites.org/go/NZ_FNAX01000018.1/137933-159043	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900102095.1/NZ_FNAX01000018/1/137933/159043
Curtobacterium	flaccumfaciens	Cff1037	NZ_CP045287.2	1576479	1597451	furan	False	diisonitrile antibiotic SF2768	11	BGC0001574	https://antismash-db.secondarymetabolites.org/go/NZ_CP045287.2/1576479-1597451	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_009363215.3/NZ_CP045287/2/1576479/1597451
Streptococcus	Unclassified	M334	NZ_GL732486.1	105676	126594	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_GL732486.1/105676-126594	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000187745.1/NZ_GL732486/1/105676/126594
Streptococcus	Unclassified	M334	NZ_GL732491.1	64570	85335	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_GL732491.1/64570-85335	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000187745.1/NZ_GL732491/1/64570/85335
Nocardia	brasiliensis	FDAARGOS_352	NZ_CP022088.2	7555495	7576485	furan	False	vazabitide A	10	BGC0001818	https://antismash-db.secondarymetabolites.org/go/NZ_CP022088.2/7555495-7576485	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002209125.2/NZ_CP022088/2/7555495/7576485
Corynebacterium	casei	LMG S-19264	NZ_CP004350.1	2503137	2535297	furan - lanthipeptide hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP004350.1/2503137-2535297	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000550785.1/NZ_CP004350/1/2503137/2535297
Thermobifida	cellulosilytica	TB100	NZ_KQ950180.1	1383899	1404901	furan	False	methylenomycin A	28	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_KQ950180.1/1383899-1404901	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001517975.1/NZ_KQ950180/1/1383899/1404901
Leuconostoc	gelidum	TMW 2.1618	NZ_CP017196.1	1714615	1735533	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP017196.1/1714615-1735533	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_006770305.1/NZ_CP017196/1/1714615/1735533
Rothia	Unclassified	HMSC071F11	NZ_KV795771.1	146798	189729	furan - t1pks hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KV795771.1/146798-189729	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001809115.1/NZ_KV795771/1/146798/189729
Leuconostoc	gelidum	None	NZ_LN890331.1	79072	99924	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LN890331.1/79072-99924	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_001536305.1/NZ_LN890331/1/79072/99924
Arthrobacter	woluwensis	DE0050	NZ_VEMO01000002.1	50310	71204	furan	False	kanamycin	1	BGC0000703	https://antismash-db.secondarymetabolites.org/go/NZ_VEMO01000002.1/50310-71204	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_007682295.1/NZ_VEMO01000002/1/50310/71204
Arthrobacter	woluwensis	DE0050	NZ_VEMO01000004.1	273337	294240	furan	False	diisonitrile antibiotic SF2768	11	BGC0001574	https://antismash-db.secondarymetabolites.org/go/NZ_VEMO01000004.1/273337-294240	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_007682295.1/NZ_VEMO01000004/1/273337/294240
Streptomyces	viridosporus	ATCC 14672	NZ_DS999641.1	7740537	7788989	furan - nrps-like hybrid	False	meilingmycin	5	BGC0000093	https://antismash-db.secondarymetabolites.org/go/NZ_DS999641.1/7740537-7788989	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000156435.1/NZ_DS999641/1/7740537/7788989
Sphingobacterium	nematocida	DSM 24091	NZ_FUZF01000016.1	6649	27591	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_FUZF01000016.1/6649-27591	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900168125.1/NZ_FUZF01000016/1/6649/27591
Vibrio	cholerae	N2807	NZ_VSGZ01000035.1	266682	287684	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_VSGZ01000035.1/266682-287684	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_008084075.1/NZ_VSGZ01000035/1/266682/287684
Pseudomonas	3	B13-200	NZ_CP019874.1	50222	71158	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP019874.1/50222-71158	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_002966555.1/NZ_CP019874/1/50222/71158
Rahnella	Unclassified	Lac-M11	NZ_JAADJS010000004.1	180603	201584	furan	False	difficidin	13	BGC0000176	https://antismash-db.secondarymetabolites.org/go/NZ_JAADJS010000004.1/180603-201584	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_011065485.1/NZ_JAADJS010000004/1/180603/201584
Streptococcus	mutans	LJ23	NC_017768.1	153713	230218	furan - t1nrps - transat-pks hybrid	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NC_017768.1/153713-230218	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000284575.1/NC_017768/1/153713/230218
Vibrio	owensii	V180403	NZ_CP033145.1	68303	89293	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP033145.1/68303-89293	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003691545.1/NZ_CP033145/1/68303/89293
Vibrio	owensii	V180403	NZ_CP030799.1	561079	582069	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_CP030799.1/561079-582069	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_013459835.1/NZ_CP030799/1/561079/582069
Streptomyces	actuosus	ATCC 25421	NZ_CP029788.1	3813360	3834428	furan	False	methylenomycin A	9	BGC0000914	https://antismash-db.secondarymetabolites.org/go/NZ_CP029788.1/3813360-3834428	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_003208035.1/NZ_CP029788/1/3813360/3834428
Streptococcus	equi	H70	NZ_LS483368.1	2007844	2028771	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_LS483368.1/2007844-2028771	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_900475295.1/NZ_LS483368/1/2007844/2028771
Acinetobacter	pittii	WCHAP100010	NZ_SGTF01000031.1	19737	34216	furan	True	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_SGTF01000031.1/19737-34216	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_004209435.1/NZ_SGTF01000031/1/19737/34216
Acinetobacter	brisouii	CIP 110357	NZ_KI530764.1	87891	108791	furan	False	None	None	None	https://antismash-db.secondarymetabolites.org/go/NZ_KI530764.1/87891-108791	https://antismash-db.secondarymetabolites.org/api/v1.0/download/genbank/GCF_000488275.1/NZ_KI530764/1/87891/108791
